Region,Region_pcode,Province,Province_pcode,City,Mun_Pcode,July2020,July2021,July2022,July2023,July2024,July2025
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,manaoag,PH015525000,73913,74710,75472,76200,76896,77555
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,mangaldan,PH015526000,112981,114177,115320,116409,117449,118433
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,mangatarem,PH015527000,75900,76317,76692,77026,77317,77566
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,mapandan,PH015528000,39411,39835,40241,40628,40998,41349
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,natividad,PH015529000,25700,25948,26184,26407,26618,26815
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,pozorrubio,PH015530000,72424,72892,73321,73710,74062,74373
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,rosales,PH015531000,65962,66445,66893,67306,67686,68029
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,san carlos city,PH015532000,200684,202874,204970,206974,208891,210709
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,san fabian,PH015533000,87504,88286,89023,89716,90367,90973
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,san jacinto,PH015534000,43681,44200,44700,45181,45644,46087
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,san manuel,PH015535000,58905,60087,61258,62419,63573,64712
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,san nicolas,PH015536000,36741,36918,37074,37209,37324,37418
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,san quintin,PH015537000,33656,33743,33811,33859,33888,33897
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,santa barbara,PH015538000,86766,87607,88407,89164,89881,90554
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,santa maria,PH015539000,34723,35013,35286,35540,35778,35997
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,santo tomas,PH015540000,15512,15586,15651,15707,15755,15794
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,sison,PH015541000,50727,51312,51875,52415,52934,53428
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,sual,PH015542000,36881,37394,37893,38378,38850,39307
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,tayug,PH015543000,45974,46486,46977,47448,47898,48327
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,umingan,PH015544000,78483,79447,80377,81274,82139,82968
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,urbiztondo,PH015545000,52091,52398,52675,52925,53146,53338
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,city of urdaneta,PH015546000,139360,140452,141471,142417,143293,144094
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,villasis,PH015547000,65044,65492,65906,66285,66630,66940
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,laoac,PH015548000,33298,33616,33918,34203,34473,34726
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,basco (capital),PH020901000,9205,9340,9473,9610,9749,9890
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,itbayat,PH020902000,2771,2753,2733,2714,2696,2677
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,ivana,PH020903000,1396,1411,1425,1440,1455,1470
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,mahatao,PH020904000,1546,1544,1542,1540,1538,1537
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,sabtang,PH020905000,1611,1610,1607,1606,1604,1602
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,uyugan,PH020906000,1345,1355,1365,1375,1385,1395
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,abulug,PH021501000,34355,34670,34965,35239,35492,35725
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,alcala,PH021502000,40142,40317,40465,40587,40681,40749
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,allacapan,PH021503000,35515,35846,36155,36444,36712,36957
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,amulung,PH021504000,50591,51054,51487,51889,52262,52603
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,aparri,PH021505000,70121,70912,71664,72377,73052,73686
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,baggao,PH021506000,87470,88264,89005,89694,90331,90913
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,ballesteros,PH021507000,36409,36774,37117,37439,37741,38020
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,buguey,PH021508000,31926,32224,32503,32764,33005,33227
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,calayan,PH021509000,17265,17345,17413,17470,17515,17549
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,camalaniugan,PH021510000,26461,26727,26977,27212,27432,27636
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,claveria,PH021511000,30765,30874,30962,31030,31077,31102
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,enrile,PH021512000,39101,39713,40308,40885,41447,41990
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,gattaran,PH021513000,58668,58959,59210,59423,59598,59733
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,gonzaga,PH021514000,41497,41956,42391,42804,43194,43559
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,iguig,PH021515000,30158,30580,30988,31380,31759,32122
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,lal-lo,PH021516000,47634,48191,48722,49226,49706,50158
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,lasam,PH021517000,41323,41692,42036,42356,42650,42919
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,pamplona,PH021518000,24262,24348,24417,24470,24507,24528
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,peñablanca,PH021519000,50090,50294,50465,50603,50707,50777
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,piat,PH021520000,24328,24428,24511,24577,24628,24662
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,rizal,PH021521000,18502,18567,18620,18661,18689,18704
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,sanchez-mira,PH021522000,25859,26079,26283,26472,26645,26801
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,santa ana,PH021523000,35355,35796,36219,36623,37009,37375
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,santa praxedes,PH021524000,4688,4794,4899,5004,5108,5210
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,santa teresita,PH021525000,20476,20735,20985,21223,21451,21668
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,santo niño (faire),PH021526000,28381,28562,28724,28868,28994,29102
